"TransportationMode" "ClassOfWorker" "Sex" "MaritalStatus" "HealthInsurance" "EducationLevel" "HomeOffice" "AgeBracket" "OccupationType" "RelativeIncome" "Tract" "CommuteTime"
"Driving" "Employee" "Male" "Married" "No Health Insurance" "No Education" "Not Home Office" "18-29" "Other" "Very Low" "Census Tract 31, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "No Health Insurance" "No Education" "Not Home Office" "18-29" "Other" "Very Low" "Census Tract 31, Ventura County, California" "No"
"Driving" NA "Female" "Not Married" "No Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" "Census Tract 31, Ventura County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "Census Tract 31, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "No Education" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "Census Tract 31, Ventura County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Somewhere In The Middle" "Census Tract 31, Ventura County, California" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "Census Tract 31, Ventura County, California" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "No Education" "Not Home Office" "50-59" "Other" "Rather Low" "Census Tract 31, Ventura County, California" "No"
"Driving" NA "Male" "Not Married" "Health Insurance" "No Education" "Not Home Office" "60+" NA "Somewhere In The Middle" "Census Tract 31, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Rather Low" "Census Tract 31, Ventura County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Very Low" "Census Tract 31, Ventura County, California" "No"
"Driving" NA "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" "Census Tract 31, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Very Low" "Census Tract 31, Ventura County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Somewhere In The Middle" "Census Tract 31, Ventura County, California" "No"
"Driving" NA "Female" "Not Married" "Health Insurance" "No Education" "Not Home Office" "60+" NA "Very Low" "Census Tract 31, Ventura County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Somewhere In The Middle" "Census Tract 31, Ventura County, California" "No"
"Driving" "Employee" "Male" "Separated, Divorced, Widowed" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Other" "Somewhere In The Middle" "Census Tract 27, Ventura County, California" "No"
"Driving" "Freelancer" "Male" "Married" "No Health Insurance" "Bachelor" "Not Home Office" "40-49" "Other" "Somewhere In The Middle" "Census Tract 25, Ventura County, California" "No"
"Driving" "Freelancer" "Female" "Married" "No Health Insurance" "Doctoral or Higher" "Not Home Office" "40-49" "Other" "Somewhere In The Middle" "Census Tract 13.01, Ventura County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "Census Tract 13.02, Ventura County, California" "No"
"Driving" NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" "Census Tract 13.02, Ventura County, California" "No"
"Driving" "Freelancer" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Very Low" "Census Tract 13.02, Ventura County, California" "No"
"Driving" "Freelancer" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Very Low" "Census Tract 13.02, Ventura County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Rather Low" "Census Tract 13.02, Ventura County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Business Development" "Somewhere In The Middle" "Census Tract 12.02, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "PR, Marketing, Sales, Advertising" "Somewhere In The Middle" "Census Tract 12.02, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "60+" "Higher Management" "Somewhere In The Middle" "Census Tract 25, Ventura County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Doctoral or Higher" "Not Home Office" "60+" "Education" "Very Low" "Census Tract 13.02, Ventura County, California" "No"
"Driving" "Employee" "Female" "Not Married" "No Health Insurance" "Master" "Not Home Office" "30-39" "IT" "Rather Low" "Census Tract 13.02, Ventura County, California" "No"
"Home Office" "Freelancer" "Female" "Married" "Health Insurance" "High School" "Home Office" "30-39" "Higher Management" "Very Low" "Census Tract 13.02, Ventura County, California" "Yes"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Art" "Rather High" "Census Tract 17, Ventura County, California" "No"
"Driving" NA "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" "Census Tract 13.02, Ventura County, California" "No"
"Driving" "Freelancer" "Female" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Other" "Rather Low" "Census Tract 13.02, Ventura County, California" "No"
"Driving" NA "Male" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Very Low" "Census Tract 13.02, Ventura County, California" "No"
"Driving" "Employee" "Male" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Somewhere In The Middle" "Census Tract 50.04, Ventura County, California" "No"
"Home Office" "Freelancer" "Female" "Separated, Divorced, Widowed" "Health Insurance" "Master" "Home Office" "50-59" "Other" "Rather Low" "Census Tract 13.02, Ventura County, California" "Yes"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Doctoral or Higher" "Not Home Office" "40-49" "Other" "Rather High" "Census Tract 17, Ventura County, California" "No"
"Driving" NA "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" NA "Very Low" "Census Tract 13.02, Ventura County, California" "No"
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "Master" "Not Home Office" "40-49" "Education" "Somewhere In The Middle" "Census Tract 12.02, Ventura County, California" "No"
"Driving" NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Rather Low" "Census Tract 13.02, Ventura County, California" "No"
"Driving" NA "Male" "Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Rather Low" "Census Tract 13.02, Ventura County, California" "No"
"Driving" "Freelancer" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "PR, Marketing, Sales, Advertising" "Rather Low" "Census Tract 13.02, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Rather High" "Census Tract 18, Ventura County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Rather Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "18-29" "Other" "Rather Low" "Census Tract 22, Ventura County, California" "No"
"Driving" NA "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" NA "Very Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Entrepreneur" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Business Development" "Rather High" "Census Tract 17, Ventura County, California" "No"
"Driving" "Entrepreneur" "Male" "Married" "Health Insurance" "Doctoral or Higher" "Not Home Office" "40-49" "Business Development" "Rather High" "Census Tract 17, Ventura County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Master" "Not Home Office" "40-49" "Research" "Rather High" "Census Tract 17, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Doctoral or Higher" "Not Home Office" "40-49" "Research" "Somewhere In The Middle" "Census Tract 18, Ventura County, California" "No"
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Rather Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Male" "Separated, Divorced, Widowed" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "IT" "Somewhere In The Middle" "Census Tract 50.04, Ventura County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Rather Low" "Census Tract 22, Ventura County, California" "No"
"Driving" NA "Male" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "40-49" NA "Very Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Higher Management" "Very Low" "Census Tract 22, Ventura County, California" "No"
"Driving" NA "Female" "Married" "Health Insurance" "Master" "Not Home Office" "50-59" NA "Very Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Education" "Somewhere In The Middle" "Census Tract 16.01, Ventura County, California" "No"
"Driving" "Entrepreneur" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Business Development" "Somewhere In The Middle" "Census Tract 12.02, Ventura County, California" "No"
"Driving" NA "Male" "Separated, Divorced, Widowed" "Health Insurance" "Master" "Not Home Office" "60+" NA "Rather Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Art" "Rather Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "40-49" "Education" "Rather High" "Census Tract 17, Ventura County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Higher Management" "Somewhere In The Middle" "Census Tract 12.02, Ventura County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "18-29" "Other" "Somewhere In The Middle" "Census Tract 15.03, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Somewhere In The Middle" "Census Tract 28, Ventura County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Business Development" "Somewhere In The Middle" "Census Tract 23, Ventura County, California" "No"
"Home Office" "Employee" "Female" "Married" "Health Insurance" "High School" "Home Office" "40-49" "Other" "Very Low" "Census Tract 22, Ventura County, California" "Yes"
"Driving" "Entrepreneur" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Business Development" "Rather High" "Census Tract 17, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "IT" "Rather Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Other" "Rather High" "Census Tract 17, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Other" "Somewhere In The Middle" "Census Tract 14.02, Ventura County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Higher Management" "Somewhere In The Middle" "Census Tract 14.02, Ventura County, California" "No"
"Driving" NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "Census Tract 15.03, Ventura County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Very Low" "Census Tract 22, Ventura County, California" "No"
"Home Office" "Employee" "Female" "Married" "Health Insurance" "High School" "Home Office" "40-49" "Other" "Rather Low" "Census Tract 22, Ventura County, California" "Yes"
"Driving" "Freelancer" "Female" "Separated, Divorced, Widowed" "Health Insurance" "Bachelor" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "Census Tract 23, Ventura County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Higher Management" "Somewhere In The Middle" "Census Tract 23, Ventura County, California" "No"
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" "Education" "Rather Low" "Census Tract 21.02, Ventura County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Very Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Very Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Freelancer" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Rather Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Male" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Rather High" "Census Tract 17, Ventura County, California" "No"
"Driving" NA "Male" "Separated, Divorced, Widowed" "Health Insurance" "Doctoral or Higher" "Not Home Office" "60+" NA "Rather High" "Census Tract 17, Ventura County, California" "No"
"Driving" "Freelancer" "Female" "Not Married" "Health Insurance" "No Education" "Not Home Office" "40-49" "Other" "Rather Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "No Education" "Not Home Office" "18-29" "Other" "Very Low" "Census Tract 22, Ventura County, California" "No"
"Driving" NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Other" "Rather Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Education" "Rather Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Male" "Not Married" "No Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "Census Tract 22, Ventura County, California" "No"
"Driving" NA "Male" "Married" "Health Insurance" "No Education" "Not Home Office" "60+" NA "Rather Low" "Census Tract 22, Ventura County, California" "No"
"Driving" NA "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Very Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Rather Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Master" "Not Home Office" "30-39" "Other" "Rather Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "30-39" "Research" "Somewhere In The Middle" "Census Tract 28, Ventura County, California" "No"
"Driving" NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "Master" "Not Home Office" "60+" NA "Somewhere In The Middle" "Census Tract 16.01, Ventura County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Rather Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Male" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Rather Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Education" "Somewhere In The Middle" "Census Tract 15.03, Ventura County, California" "No"
"Driving" "Entrepreneur" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Business Development" "Somewhere In The Middle" "Census Tract 27, Ventura County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Freelancer" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Other" "Very High" "Census Tract 17, Ventura County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Other" "Rather High" "Census Tract 17, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "30-39" "IT" "Somewhere In The Middle" "Census Tract 13.01, Ventura County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Business Development" "Somewhere In The Middle" "Census Tract 23, Ventura County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Very Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "Census Tract 23, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Very Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "18-29" "Other" "Rather Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Freelancer" "Male" "Separated, Divorced, Widowed" "No Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Rather Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Very Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Other" "Very Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "60+" "Higher Management" "Somewhere In The Middle" "Census Tract 14.01, Ventura County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Very Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Freelancer" "Male" "Separated, Divorced, Widowed" "No Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Somewhere In The Middle" "Census Tract 28, Ventura County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Rather Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Rather Low" "Census Tract 22, Ventura County, California" "No"
"Driving" NA "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" "Census Tract 22, Ventura County, California" "No"
"Driving" NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "No Education" "Not Home Office" "60+" NA "Very Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "18-29" "Other" "Somewhere In The Middle" "Census Tract 23, Ventura County, California" "No"
"Driving" "Freelancer" "Female" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Other" "Rather Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Master" "Not Home Office" "40-49" "Education" "Very Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Doctoral or Higher" "Not Home Office" "40-49" "Other" "Very High" "Census Tract 17, Ventura County, California" "No"
"Driving" NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Rather Low" "Census Tract 22, Ventura County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Master" "Not Home Office" "50-59" "Education" "Somewhere In The Middle" "Census Tract 26, Ventura County, California" "No"
"Home Office" "Freelancer" "Male" "Married" "Health Insurance" "Bachelor" "Home Office" "50-59" "Writing" "Rather Low" "Census Tract 21.02, Ventura County, California" "Yes"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Other" "Very Low" "Census Tract 21.02, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Higher Management" "Somewhere In The Middle" "Census Tract 18, Ventura County, California" "No"
"Driving" NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Somewhere In The Middle" "Census Tract 20, Ventura County, California" "No"
"Driving" NA "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "50-59" NA "Very Low" "Census Tract 21.02, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Somewhere In The Middle" "Census Tract 50.04, Ventura County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" "Other" "Rather Low" "Census Tract 21.02, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Rather Low" "Census Tract 21.02, Ventura County, California" "No"
"Driving" NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" "Census Tract 21.02, Ventura County, California" "No"
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Rather Low" "Census Tract 21.02, Ventura County, California" "No"
"Driving" "Freelancer" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Art" "Somewhere In The Middle" "Census Tract 14.01, Ventura County, California" "No"
"Driving" "Freelancer" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Art" "Very Low" "Census Tract 21.02, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Rather Low" "Census Tract 21.02, Ventura County, California" "No"
"Driving" NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "40-49" NA "Very Low" "Census Tract 21.02, Ventura County, California" "No"
"Driving" NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Somewhere In The Middle" "Census Tract 23, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "IT" "Somewhere In The Middle" "Census Tract 20, Ventura County, California" "No"
"Driving" NA "Female" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" NA "Very Low" "Census Tract 21.02, Ventura County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "Bachelor" "Not Home Office" "18-29" "Higher Management" "Somewhere In The Middle" "Census Tract 13.01, Ventura County, California" "No"
"Driving" "Entrepreneur" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Business Development" "Rather High" "Census Tract 17, Ventura County, California" "No"
"Driving" "Employee" "Male" "Separated, Divorced, Widowed" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Other" "Somewhere In The Middle" "Census Tract 23, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "30-39" "Other" "Somewhere In The Middle" "Census Tract 16.01, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Master" "Not Home Office" "40-49" "Education" "Somewhere In The Middle" "Census Tract 14.02, Ventura County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "40-49" "Education" "Somewhere In The Middle" "Census Tract 14.02, Ventura County, California" "No"
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "Census Tract 14.01, Ventura County, California" "No"
"Driving" "Employee" "Male" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Somewhere In The Middle" "Census Tract 12.02, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Somewhere In The Middle" "Census Tract 23, Ventura County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Master" "Not Home Office" "18-29" "Other" "Somewhere In The Middle" "Census Tract 28, Ventura County, California" "No"
"Driving" NA "Male" "Married" "Health Insurance" "Master" "Not Home Office" "60+" NA "Rather High" "Census Tract 17, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Somewhere In The Middle" "Census Tract 14.01, Ventura County, California" "No"
"Driving" NA "Female" "Married" "Health Insurance" "Master" "Not Home Office" "60+" NA "Very Low" "Census Tract 23, Ventura County, California" "No"
"Driving" NA "Male" "Married" "Health Insurance" "Master" "Not Home Office" "60+" NA "Somewhere In The Middle" "Census Tract 15.06, Ventura County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "PR, Marketing, Sales, Advertising" "Very Low" "Census Tract 23, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Somewhere In The Middle" "Census Tract 18, Ventura County, California" "No"
"Driving" "Entrepreneur" "Male" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" "Business Development" "Rather Low" "Census Tract 23, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "30-39" "Other" "Rather High" "Census Tract 17, Ventura County, California" "No"
"Driving" "Freelancer" "Female" "Married" "Health Insurance" "High School" "Not Home Office" "30-39" "Other" "Rather Low" "Census Tract 23, Ventura County, California" "No"
"Driving" "Employee" "Female" "Separated, Divorced, Widowed" "Health Insurance" "Master" "Not Home Office" "60+" "Education" "Somewhere In The Middle" "Census Tract 14.01, Ventura County, California" "No"
"Driving" NA "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" "Census Tract 23, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "High School" "Not Home Office" "50-59" "Other" "Rather Low" "Census Tract 23, Ventura County, California" "No"
"Driving" "Freelancer" "Female" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" "Other" "Somewhere In The Middle" "Census Tract 26, Ventura County, California" "No"
"Driving" "Employee" "Male" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Other" "Rather Low" "Census Tract 23, Ventura County, California" "No"
"Driving" "Employee" "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" "Research" "Somewhere In The Middle" "Census Tract 14.01, Ventura County, California" "No"
"Driving" NA "Female" "Not Married" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" "Census Tract 23, Ventura County, California" "No"
"Driving" NA "Male" "Separated, Divorced, Widowed" "Health Insurance" "High School" "Not Home Office" "60+" NA "Very Low" "Census Tract 23, Ventura County, California" "No"
"Driving" "Employee" "Male" "Not Married" "Health Insurance" "Master" "Not Home Office" "40-49" "Higher Management" "Rather High" "Census Tract 17, Ventura County, California" "No"
"Driving" NA "Female" "Married" "Health Insurance" "Bachelor" "Not Home Office" "60+" NA "Very Low" "Census Tract 23, Ventura County, California" "No"
